,0
was,217339.24650120587
so,165827.90297468347
at,165670.34811726437
are,156590.3912556499
we,143283.2297470295
know,59756.04337797149
lol,41691.81016066154
im,41467.735487977734
oh,35708.22326858896
u,34531.07809514014
bio,13142.782624978152
x,12448.290880274202
girl,12011.468696697966
wow,11133.654649459391
omg,10127.133476472307
ur,9137.94075911109
mom,9090.35827064679
ta,8994.71937673153
ya,8771.204033153424
pm,8531.381073531287
woke,7320.345180645031
hand,6708.190938915084
add,6649.110728672117
extra,6413.581692502135
w,6169.194474272827
b,6168.042916147992
dad,5928.215230591795
sat,5749.542088104611
air,5736.559601893438
sit,5565.834434076242
r,5369.080062511577
ate,5344.2951939519135
pic,5307.907318252445
o,5213.536109233669
word,5163.93108180828
tea,5154.615076575351
dm,4970.819087505331
based,4897.657716109679
ah,4623.9220158841745
fish,4400.397087188393
btw,4377.960346676796
gt,4083.0768923485225
bbq,3952.814141903835
til,3786.047395813001
app,3774.567685168458
nd,3534.715881540534
lmao,3513.517587258058
p,3441.4459083565184
xd,3252.793105106562
k,3037.798716815967
afc,2994.682861928664
ppl,2979.315178220872
bag,2861.0491497408575
bet,2799.5419782062286
e,2787.9437562722883
wtf,2775.6116673394527
dr,2771.1047883386
lab,2573.819703569344
bc,2457.761093376019
y,2441.0794988604794
l,2434.7199342997524
camp,2381.413256252054
rip,2370.852858214968
da,2317.4883089006103
bday,2258.566548034223
g,2249.1904630245617
idk,2215.343206996446
thx,2202.986559888124
basic,2113.0364057615993
f,1869.9171973213838
cos,1772.8076560667155
bay,1733.1869797056797
em,1729.3499203232966
tx,1692.1120112911124
gas,1678.1412332110058
v,1614.6566273653439
sis,1612.2250840107906
vip,1591.4307647130915
pc,1582.3248036766458
ac,1506.4033680949196
bb,1501.243350595607
fb,1490.4296833326873
ooh,1479.0091996076035
burn,1478.5555526159478
plz,1459.7007752209097
sir,1442.59038870344
yr,1434.1534834706397
kit,1399.639369826343
fml,1394.8204426111147
fam,1394.6344435318467
rt,1373.8492219194309
bf,1367.143502737281
peeps,1301.2205984455113
jk,1284.0863497973542
h,1260.8644910256808
wat,1226.96963133599
facts,1187.1730868698069
kiss,1174.8936681529947
pls,1144.2430169149206
atm,1125.5129609225255
drag,1119.849134067486
ship,1107.1358588505407
asap,1104.692590053337
craft,1089.5729196984526
pot,1075.0263849211467
jam,1045.1784782497878
dc,1042.0961525166756
ed,1010.2064754887989
dnt,988.7443278344472
smh,980.9367284811195
aka,979.636758171232
bff,977.5869529290728
bob,951.2254104446462
salty,904.7537522881348
fab,859.3758301784146
os,844.732430769641
rs,842.9490681228098
ily,812.6357018124868
gf,795.1320754123553
mid,782.1876247685368
meh,775.4567864403572
toy,759.9805553714976
abt,753.3828182275226
snack,752.4224329778713
ga,748.6938003324548
bbc,746.4542636689454
lmfao,728.6015013370808
ty,727.4482469607063
valid,726.5479534434112
ff,708.4824155303695
fyi,704.451226383474
tank,694.4214979300149
oo,680.2807327411008
tht,670.5177881594573
q,655.8133142472145
sux,639.4070519953527
goat,635.5759069247423
ftw,631.5172176060219
ol,627.4055370629953
mm,600.2727512166385
hw,595.6570292096156
sb,580.2505932534543
pat,576.0307628372285
gb,562.1576456841188
ace,555.2851628018097
lit,552.122678030083
aap,549.1680967803644
mp,548.8740006210194
byob,545.6244906610344
probs,543.7714035246335
cap,535.7466680850888
piss,531.0318299860854
prolly,517.8200064044134
gs,509.7631610650343
ne,508.4731488744347
msg,505.4012552479998
stats,503.33374608107727
hub,501.447969009673
uv,497.55740777075295
pita,496.5843035982116
dam,495.5847175327476
tbh,487.54414496957395
thnx,486.2876266392047
cam,483.5965327155894
nc,480.169112888706
abc,475.4115985160448
z,471.12503624348835
omfg,470.7703899286495
dot,470.49416520024437
ct,468.51255226091814
gd,466.33534909199216
rofl,464.0366285213976
gal,461.3660286044814
wth,454.01303992417854
bt,452.4269180245063
dis,450.24436368266174
dd,444.18771085156277
lbs,425.08629931739546
jelly,423.2831061797239
tgif,412.8943191089464
thirsty,402.058974199455
karen,400.65072587615197
heather,399.3927610481203
shade,398.7175113982316
nw,396.9400160008341
slap,394.8217240411535
sry,390.35161895015796
cm,386.65871522693504
admin,385.10483721733243
sc,383.92027081203554
tt,382.3644180164724
imo,380.57487530303854
ds,376.7781928010778
mc,369.9363182812771
hp,368.82240010558286
gud,358.61919314859244
op,351.4226343661129
hv,350.7741643265921
bak,347.4439371201024
ratio,346.1257641272214
beg,343.8446058297635
diy,342.4522057037996
drip,339.69607939598086
wah,338.64028537995904
es,332.1668986869873
wk,329.1522292915774
gg,327.9248003288729
ig,323.03216608769225
